===BURST_CSV_BEGIN===
# fastburst: 2048 frames @ 100.01 kSPS native (measured), 0 seq-gaps, 0 bad-hdr; us = idx x 9.999 us
us,seq,i3,i4,i5,vrail,i7,i8
0.0,59,0.0916,0.0872,0.0911,0.0157,0.0189,0.0856
10.0,60,0.0916,0.0902,0.0926,0.0165,0.0219,0.0825
20.0,61,0.0901,0.0902,0.0911,0.0165,0.0219,0.0841
30.0,62,0.0931,0.0902,0.0957,0.0174,0.0250,0.0902
40.0,63,0.0885,0.0902,0.0926,0.0174,0.0250,0.0947
50.0,64,0.0870,0.0933,0.0865,0.0174,0.0280,0.0978
60.0,65,0.0839,0.0948,0.0835,0.0165,0.0311,0.0978
70.0,66,0.0870,0.0948,0.0835,0.0157,0.0326,0.0947
80.0,67,0.0901,0.0902,0.0804,0.0174,0.0326,0.0932
90.0,68,0.0901,0.0917,0.0804,0.0165,0.0341,0.0871
100.0,69,0.0901,0.0887,0.0820,0.0174,0.0372,0.0856
110.0,70,0.0885,0.0841,0.0804,0.0174,0.0372,0.0841
120.0,71,0.0855,0.0795,0.0789,0.0157,0.0387,0.0795
130.0,72,0.0870,0.0780,0.0774,0.0157,0.0387,0.0825
140.0,73,0.0855,0.0734,0.0743,0.0148,0.0417,0.0841
150.0,74,0.0778,0.0750,0.0728,0.0157,0.0417,0.0734
160.0,75,0.0702,0.0734,0.0652,0.0165,0.0417,0.0673
170.0,76,0.0687,0.0719,0.0637,0.0148,0.0417,0.0627
180.0,77,0.0687,0.0673,0.0637,0.0157,0.0433,0.0627
190.0,78,0.0611,0.0597,0.0606,0.0157,0.0433,0.0535
200.0,79,0.0580,0.0536,0.0591,0.0157,0.0448,0.0474
210.0,80,0.0489,0.0521,0.0515,0.0157,0.0433,0.0429
220.0,81,0.0443,0.0505,0.0499,0.0157,0.0448,0.0429
230.0,82,0.0427,0.0490,0.0469,0.0157,0.0448,0.0490
240.0,83,0.0427,0.0460,0.0423,0.0165,0.0433,0.0535
250.0,84,0.0382,0.0460,0.0347,0.0157,0.0448,0.0459
260.0,85,0.0366,0.0414,0.0316,0.0174,0.0448,0.0429
270.0,86,0.0366,0.0368,0.0362,0.0165,0.0448,0.0368
280.0,87,0.0336,0.0353,0.0362,0.0157,0.0448,0.0337
290.0,88,0.0321,0.0353,0.0331,0.0157,0.0448,0.0337
300.0,89,0.0275,0.0277,0.0255,0.0165,0.0433,0.0291
310.0,90,0.0275,0.0246,0.0255,0.0148,0.0433,0.0261
320.0,91,0.0244,0.0200,0.0194,0.0157,0.0417,0.0246
330.0,92,0.0244,0.0231,0.0209,0.0148,0.0417,0.0215
340.0,93,0.0229,0.0246,0.0164,0.0157,0.0417,0.0200
350.0,94,0.0229,0.0231,0.0164,0.0165,0.0417,0.0169
360.0,95,0.0275,0.0185,0.0164,0.0139,0.0417,0.0139
370.0,96,0.0244,0.0093,0.0194,0.0157,0.0402,0.0154
380.0,97,0.0260,0.0124,0.0240,0.0165,0.0402,0.0200
390.0,98,0.0229,0.0124,0.0316,0.0157,0.0387,0.0215
400.0,99,0.0214,0.0124,0.0331,0.0157,0.0402,0.0246
410.0,100,0.0199,0.0093,0.0362,0.0157,0.0402,0.0246
420.0,101,0.0229,0.0124,0.0331,0.0165,0.0402,0.0215
430.0,102,0.0260,0.0139,0.0286,0.0174,0.0402,0.0200
440.0,103,0.0290,0.0124,0.0286,0.0165,0.0387,0.0246
450.0,104,0.0305,0.0139,0.0240,0.0165,0.0387,0.0200
460.0,105,0.0275,0.0139,0.0209,0.0157,0.0372,0.0200
470.0,106,0.0214,0.0185,0.0148,0.0157,0.0341,0.0123
480.0,107,0.0183,0.0154,0.0103,0.0148,0.0372,0.0078
490.0,108,0.0199,0.0078,0.0118,0.0157,0.0356,0.0078
500.0,109,0.0122,0.0109,0.0118,0.0157,0.0372,0.0047
510.0,110,0.0107,0.0109,0.0072,0.0157,0.0341,0.0032
520.0,111,0.0092,0.0078,0.0072,0.0157,0.0356,0.0047
530.0,112,0.0046,0.0002,0.0103,0.0165,0.0356,0.0017
540.0,113,0.0000,-0.0044,0.0072,0.0157,0.0311,0.0032
550.0,114,0.0015,0.0002,0.0026,0.0148,0.0311,0.0062
560.0,115,0.0015,0.0048,-0.0004,0.0148,0.0311,0.0032
570.0,116,0.0000,0.0048,0.0011,0.0174,0.0311,0.0017
580.0,117,0.0000,0.0048,0.0026,0.0165,0.0295,0.0001
590.0,118,-0.0015,0.0048,0.0057,0.0157,0.0311,-0.0044
600.0,119,0.0031,0.0063,0.0103,0.0165,0.0311,-0.0044
610.0,120,0.0107,0.0093,0.0087,0.0157,0.0280,0.0001
620.0,121,0.0092,0.0109,0.0133,0.0157,0.0280,0.0047
630.0,122,0.0183,0.0124,0.0087,0.0157,0.0280,0.0032
640.0,123,0.0199,0.0093,0.0057,0.0165,0.0265,0.0078
650.0,124,0.0183,0.0032,0.0041,0.0157,0.0265,0.0078
660.0,125,0.0122,0.0017,0.0011,0.0157,0.0265,0.0078
670.0,126,0.0061,0.0017,-0.0004,0.0165,0.0250,0.0093
