I (38466) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.123 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4895 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (39466) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.122 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4894 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (40466) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.123 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4892 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (41466) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.001 5SB=4.123 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4890 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (42466) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.122 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4890 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (43466) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.121 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4891 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (44466) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.121 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4894 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (45466) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.123 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4892 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (46466) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.119 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4894 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (47466) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.123 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4893 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (48466) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.120 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4892 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (49466) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.123 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4892 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (50466) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.120 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4895 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
