# cec_bench v1.0+9286569  2026-06-13T23:30:30
===BURST_CSV_BEGIN===
# fastburst: 2048 frames @ 100.00 kSPS native (measured), 0 seq-gaps, 0 bad-hdr; us = idx x 10.000 us
us,seq,i1,i2,i3,i4,i5,vrail,vcc,i8
0.0,236,3.8642,4.0608,3.8117,3.6846,3.4887,11.8695,4.8349,3.5032
10.0,237,3.8825,4.0760,3.8040,3.6815,3.4918,11.8704,4.8349,3.5032
20.0,238,3.8810,4.0928,3.8010,3.6708,3.4857,11.8695,4.8352,3.4971
30.0,239,3.8779,4.0760,3.7994,3.6586,3.4826,11.8695,4.8349,3.4986
40.0,240,3.8916,4.0623,3.7933,3.6541,3.4780,11.8704,4.8349,3.4971
50.0,241,3.8993,4.0409,3.7827,3.6525,3.4750,11.8712,4.8352,3.4940
60.0,242,3.8962,4.0257,3.7781,3.6480,3.4735,11.8695,4.8352,3.4833
70.0,243,3.8764,4.0302,3.7735,3.6418,3.4552,11.8695,4.8355,3.4818
80.0,244,3.8749,4.0440,3.7705,3.6388,3.4506,11.8695,4.8355,3.4727
90.0,245,3.8810,4.0577,3.7705,3.6388,3.4460,11.8704,4.8355,3.4666
100.0,246,3.8993,4.0531,3.7689,3.6403,3.4399,11.8712,4.8361,3.4635
110.0,247,3.8993,4.0409,3.7720,3.6342,3.4368,11.8712,4.8364,3.4589
120.0,248,3.8779,4.0394,3.7628,3.6312,3.4323,11.8704,4.8361,3.4574
130.0,249,3.8520,4.0379,3.7582,3.6235,3.4246,11.8695,4.8361,3.4498
140.0,250,3.8367,4.0486,3.7506,3.6251,3.4170,11.8712,4.8364,3.4467
150.0,251,3.8489,4.0531,3.7476,3.6159,3.4124,11.8712,4.8367,3.4437
160.0,252,3.8672,4.0547,3.7506,3.6129,3.4094,11.8704,4.8370,3.4452
170.0,253,3.8779,4.0638,3.7537,3.6174,3.4185,11.8712,4.8370,3.4391
180.0,254,3.8901,4.0760,3.7506,3.6159,3.4246,11.8712,4.8373,3.4391
190.0,255,3.8886,4.0745,3.7445,3.6205,3.4292,11.8712,4.8376,3.4376
200.0,0,3.8840,4.0669,3.7384,3.6174,3.4231,11.8712,4.8383,3.4360
210.0,1,3.8825,4.0760,3.7369,3.6113,3.4262,11.8704,4.8380,3.4345
220.0,2,3.8916,4.1004,3.7384,3.6052,3.4170,11.8712,4.8380,3.4284
230.0,3,3.8977,4.0943,3.7369,3.6006,3.4063,11.8712,4.8386,3.4208
240.0,4,3.8749,4.0653,3.7262,3.5900,3.3987,11.8704,4.8389,3.4147
250.0,5,3.8352,4.0364,3.7140,3.5778,3.3911,11.8721,4.8386,3.4086
