# cec_bench v1.0+9286569  2026-06-13T23:28:13
===BURST_CSV_BEGIN===
# fastburst: 2048 frames @ 100.00 kSPS native (measured), 0 seq-gaps, 0 bad-hdr; us = idx x 10.000 us
us,seq,i1,i2,i3,i4,i5,vrail,vcc,i8
0.0,141,0.2814,0.3071,0.5585,0.5962,0.5636,11.8651,4.8199,0.5292
10.0,142,0.2951,0.3056,0.5615,0.5992,0.5606,11.8651,4.8190,0.5277
20.0,143,0.2967,0.3147,0.5615,0.5962,0.5560,11.8651,4.8193,0.5231
30.0,144,0.2921,0.3178,0.5631,0.5962,0.5590,11.8643,4.8187,0.5247
40.0,145,0.3028,0.3147,0.5646,0.5916,0.5651,11.8651,4.8184,0.5262
50.0,146,0.3074,0.2995,0.5615,0.5901,0.5636,11.8643,4.8178,0.5308
60.0,147,0.3180,0.2934,0.5585,0.5947,0.5606,11.8651,4.8181,0.5323
70.0,148,0.3302,0.3208,0.5585,0.6008,0.5651,11.8651,4.8178,0.5338
80.0,149,0.3516,0.3224,0.5631,0.6038,0.5697,11.8643,4.8169,0.5338
90.0,150,0.3623,0.3315,0.5692,0.6053,0.5728,11.8643,4.8163,0.5308
100.0,151,0.3608,0.3575,0.5646,0.6053,0.5712,11.8643,4.8166,0.5308
110.0,152,0.3730,0.3773,0.5631,0.6023,0.5697,11.8643,4.8163,0.5353
120.0,153,0.3714,0.3834,0.5539,0.5992,0.5636,11.8634,4.8160,0.5353
130.0,154,0.3653,0.3636,0.5478,0.5992,0.5575,11.8643,4.8154,0.5277
140.0,155,0.3608,0.3422,0.5402,0.5947,0.5453,11.8643,4.8157,0.5201
150.0,156,0.3638,0.3315,0.5356,0.5901,0.5361,11.8634,4.8151,0.5109
160.0,157,0.3562,0.3086,0.5295,0.5764,0.5270,11.8643,4.8151,0.4987
170.0,158,0.3211,0.3086,0.5188,0.5611,0.5148,11.8643,4.8154,0.4896
180.0,159,0.3150,0.3300,0.5096,0.5413,0.5041,11.8651,4.8151,0.4774
190.0,160,0.3318,0.3605,0.4990,0.5275,0.4904,11.8643,4.8151,0.4667
200.0,161,0.3302,0.3834,0.4822,0.5168,0.4721,11.8625,4.8151,0.4560
210.0,162,0.3180,0.3819,0.4684,0.4970,0.4568,11.8643,4.8148,0.4423
220.0,163,0.3104,0.3681,0.4517,0.4787,0.4431,11.8643,4.8151,0.4255
230.0,164,0.2936,0.3620,0.4349,0.4680,0.4248,11.8634,4.8148,0.4148
240.0,165,0.2753,0.3437,0.4181,0.4467,0.4095,11.8634,4.8151,0.3995
250.0,166,0.2768,0.3300,0.3998,0.4345,0.3988,11.8643,4.8151,0.3828
260.0,167,0.2951,0.3437,0.3799,0.4192,0.3836,11.8634,4.8154,0.3629
270.0,168,0.2997,0.3559,0.3708,0.4055,0.3637,11.8643,4.8154,0.3446
280.0,169,0.2921,0.3224,0.3662,0.3917,0.3530,11.8643,4.8157,0.3355
290.0,170,0.2784,0.2842,0.3586,0.3856,0.3515,11.8651,4.8157,0.3278
300.0,171,0.2799,0.2766,0.3510,0.3871,0.3515,11.8634,4.8157,0.3217
310.0,172,0.2723,0.2827,0.3510,0.3841,0.3546,11.8625,4.8160,0.3217
320.0,173,0.2616,0.3010,0.3525,0.3856,0.3515,11.8634,4.8163,0.3233
330.0,174,0.2631,0.3285,0.3510,0.3856,0.3546,11.8643,4.8169,0.3294
340.0,175,0.2906,0.3391,0.3525,0.3810,0.3561,11.8625,4.8169,0.3278
350.0,176,0.3257,0.3422,0.3494,0.3780,0.3500,11.8643,4.8169,0.3294
360.0,177,0.3302,0.3239,0.3494,0.3734,0.3439,11.8651,4.8169,0.3233
370.0,178,0.2921,0.3071,0.3494,0.3688,0.3424,11.8643,4.8172,0.3202
380.0,179,0.2677,0.2827,0.3449,0.3704,0.3485,11.8651,4.8175,0.3171
390.0,180,0.2600,0.2766,0.3418,0.3749,0.3500,11.8651,4.8178,0.3171
400.0,181,0.2753,0.2690,0.3372,0.3719,0.3454,11.8643,4.8175,0.3110
410.0,182,0.3028,0.2751,0.3311,0.3688,0.3439,11.8643,4.8178,0.3110
420.0,183,0.3180,0.2918,0.3296,0.3688,0.3408,11.8634,4.8184,0.3110
430.0,184,0.3104,0.3102,0.3281,0.3704,0.3378,11.8634,4.8187,0.3126
440.0,185,0.3089,0.3330,0.3281,0.3658,0.3378,11.8651,4.8187,0.3126
450.0,186,0.3196,0.3422,0.3265,0.3612,0.3347,11.8643,4.8193,0.3171
460.0,187,0.3272,0.3391,0.3250,0.3627,0.3363,11.8651,4.8190,0.3156
470.0,188,0.3318,0.3285,0.3281,0.3658,0.3454,11.8660,4.8190,0.3141
480.0,189,0.3211,0.3010,0.3311,0.3658,0.3454,11.8669,4.8190,0.3156
490.0,190,0.3074,0.2720,0.3311,0.3704,0.3408,11.8651,4.8190,0.3156
500.0,191,0.3135,0.2644,0.3311,0.3688,0.3378,11.8651,4.8193,0.3095
510.0,192,0.2967,0.2735,0.3250,0.3643,0.3302,11.8660,4.8199,0.3034
520.0,193,0.2692,0.2705,0.3174,0.3551,0.3225,11.8643,4.8203,0.2973
530.0,194,0.2753,0.2812,0.3113,0.3475,0.3134,11.8660,4.8206,0.2866
540.0,195,0.3058,0.3056,0.3067,0.3322,0.3088,11.8651,4.8206,0.2821
550.0,196,0.3455,0.3254,0.3037,0.3307,0.3103,11.8651,4.8209,0.2821
560.0,197,0.3653,0.3178,0.3021,0.3307,0.3088,11.8643,4.8209,0.2836
570.0,198,0.3516,0.3300,0.3082,0.3261,0.3012,11.8651,4.8212,0.2836
580.0,199,0.3287,0.3529,0.3067,0.3307,0.3042,11.8660,4.8215,0.2882
590.0,200,0.3165,0.3605,0.3113,0.3383,0.3103,11.8651,4.8218,0.2851
600.0,201,0.3211,0.3468,0.3128,0.3429,0.3088,11.8660,4.8218,0.2805
