# cec_bench v1.0+46074dd  2026-06-13T16:36:49
===BURST_CSV_BEGIN===
# burst: 2048 frames in 129793 us (~15.8 kHz)
us,seq,i3,i4,i5,vrail,vcc,i8
71,151,4.7076,5.4526,5.5173,11.9773,4.8328,4.9131
135,156,4.4619,5.1627,5.2319,11.9782,4.8312,4.6492
198,161,4.3414,5.0147,5.0976,11.9773,4.8303,4.5408
261,165,4.2879,4.9689,5.0458,11.9773,4.8306,4.4844
324,170,4.2483,4.9170,4.9924,11.9765,4.8322,4.4416
388,175,4.1811,4.8392,4.9084,11.9765,4.8334,4.3684
451,179,4.2788,4.9292,5.0244,11.9756,4.8349,4.4660
514,184,4.3459,5.0223,5.1022,11.9756,4.8352,4.5423
578,189,4.3963,5.0666,5.1480,11.9739,4.8328,4.5881
641,193,4.3383,5.0055,5.0809,11.9747,4.8291,4.5317
704,198,4.3627,5.0101,5.1022,11.9756,4.8251,4.5423
768,203,4.3124,4.9689,5.0488,11.9747,4.8233,4.5027
831,207,4.2666,4.9262,5.0061,11.9739,4.8221,4.4584
894,212,4.2193,4.8728,4.9496,11.9739,4.8224,4.4142
957,217,4.1689,4.8240,4.8977,11.9739,4.8233,4.3608
1021,221,4.1476,4.7950,4.8749,11.9730,4.8254,4.3241
1084,226,4.1918,4.8453,4.9298,11.9730,4.8273,4.3867
1147,231,4.2498,4.9140,4.9832,11.9730,4.8291,4.4371
1211,235,4.2406,4.8972,4.9893,11.9730,4.8303,4.4187
1274,240,4.2178,4.8957,4.9679,11.9730,4.8322,4.4233
1337,245,4.2010,4.8575,4.9481,11.9721,4.8337,4.3959
1401,249,4.1811,4.8423,4.9176,11.9721,4.8340,4.3684
1464,254,4.1766,4.8240,4.9100,11.9721,4.8349,4.3623
1527,3,4.1674,4.8179,4.8962,11.9721,4.8352,4.3470
1590,7,4.1735,4.8331,4.9267,11.9730,4.8361,4.3730
1654,11,4.1735,4.8148,4.8993,11.9730,4.8355,4.3653
1717,16,4.1277,4.7660,4.8504,11.9721,4.8352,4.3104
1780,20,4.1369,4.7767,4.8672,11.9713,4.8349,4.3180
1843,24,4.1445,4.7950,4.8794,11.9721,4.8340,4.3318
1907,29,4.2681,4.9216,5.0091,11.9721,4.8340,4.4477
1970,33,4.2895,4.9399,5.0198,11.9713,4.8343,4.4737
2033,37,4.2620,4.9186,5.0046,11.9704,4.8349,4.4462
2097,42,4.2269,4.8911,4.9695,11.9704,4.8355,4.4065
2160,46,3.5876,4.2212,4.1775,11.9730,4.8355,3.7031
2223,50,1.8923,2.3429,2.2519,11.9817,4.8361,1.9850
2287,55,1.0455,1.2961,1.2540,11.9921,4.8358,1.1061
2350,59,0.5404,0.6858,0.6650,11.9973,4.8361,0.5842
2413,63,0.5877,0.6751,0.7092,12.0017,4.8355,0.6315
2476,68,1.0256,1.1527,1.1777,12.0008,4.8349,1.0588
2539,72,1.5841,1.7402,1.9024,11.9982,4.8352,1.7088
2603,76,3.0627,3.3973,3.5382,11.9921,4.8343,3.1645
2666,81,3.2977,3.7665,3.8602,11.9869,4.8346,3.4315
2730,85,3.1664,3.6597,3.7274,11.9843,4.8349,3.2942
2793,89,4.5123,5.0727,5.3311,11.9791,4.8358,4.7483
2856,94,5.3118,6.0813,6.1932,11.9721,4.8361,5.5006
2920,98,4.9288,5.7258,5.7828,11.9704,4.8370,5.1359
2983,102,4.6618,5.4099,5.4959,11.9704,4.8370,4.8674
3046,107,4.3047,4.9964,5.0732,11.9730,4.8373,4.4920
3109,111,4.1918,4.8667,4.9359,11.9739,4.8376,4.3791
3173,115,4.2345,4.8896,4.9725,11.9739,4.8370,4.4279
3236,120,4.2788,4.9292,5.0274,11.9730,4.8370,4.4721
3300,124,4.3337,5.0025,5.0824,11.9721,4.8370,4.5286
3363,128,4.2483,4.9338,5.0091,11.9721,4.8373,4.4569
3426,133,4.1842,4.8468,4.9328,11.9730,4.8370,4.3699
3489,137,4.1201,4.7690,4.8398,11.9730,4.8373,4.3104
3553,141,4.1262,4.7706,4.8474,11.9730,4.8380,4.3196
3616,146,4.2208,4.8758,4.9512,11.9713,4.8373,4.4096
3679,150,4.2879,4.9537,5.0458,11.9730,4.8361,4.4828
3743,154,4.3108,4.9735,5.0549,11.9721,4.8349,4.4966
3806,159,4.2757,4.9231,5.0091,11.9713,4.8334,4.4584
3870,163,4.1888,4.8423,4.9252,11.9730,4.8325,4.3775
3933,167,4.1521,4.8026,4.8794,11.9721,4.8325,4.3333
3996,172,4.1705,4.8240,4.9039,11.9730,4.8328,4.3623
4059,176,4.1384,4.7873,4.8627,11.9730,4.8334,4.3241
4123,180,4.1979,4.8545,4.9359,11.9721,4.8346,4.3760
4186,185,4.2345,4.8926,4.9710,11.9721,4.8355,4.4233
4249,189,4.2178,4.8667,4.9664,11.9721,4.8358,4.4096
4313,193,4.2239,4.8789,4.9679,11.9721,4.8367,4.4065
