# cec_bench v1.0+46074dd  2026-06-13T16:31:22
===BURST_CSV_BEGIN===
# fastburst: 2048 frames @ 100.00 kSPS native (measured), 0 seq-gaps, 0 bad-hdr; us = idx x 10.000 us
us,seq,i3,i4,i5,vrail,vcc,i8
0.0,2,-0.0065,-0.0025,0.0023,12.0017,4.8294,-0.0000
10.0,3,-0.0095,-0.0056,-0.0023,12.0008,4.8294,-0.0046
20.0,4,-0.0095,-0.0086,-0.0069,12.0008,4.8291,-0.0092
30.0,5,-0.0126,-0.0117,-0.0099,12.0008,4.8294,-0.0198
40.0,6,-0.0187,-0.0178,-0.0176,12.0008,4.8297,-0.0260
50.0,7,-0.0309,-0.0285,-0.0237,12.0000,4.8297,-0.0366
60.0,8,-0.0416,-0.0331,-0.0328,12.0008,4.8297,-0.0412
70.0,9,-0.0507,-0.0315,-0.0374,12.0008,4.8303,-0.0382
80.0,10,-0.0477,-0.0376,-0.0374,12.0008,4.8303,-0.0321
90.0,11,-0.0446,-0.0422,-0.0374,12.0008,4.8303,-0.0290
100.0,12,-0.0370,-0.0468,-0.0359,11.9991,4.8306,-0.0305
110.0,13,-0.0324,-0.0392,-0.0344,12.0008,4.8306,-0.0305
120.0,14,-0.0309,-0.0285,-0.0283,12.0000,4.8306,-0.0321
130.0,15,-0.0263,-0.0254,-0.0252,12.0000,4.8309,-0.0321
140.0,16,-0.0248,-0.0193,-0.0176,12.0008,4.8309,-0.0305
150.0,17,-0.0263,-0.0117,-0.0237,12.0008,4.8312,-0.0366
160.0,18,-0.0324,-0.0178,-0.0267,12.0017,4.8315,-0.0336
170.0,19,-0.0370,-0.0224,-0.0283,12.0008,4.8318,-0.0397
180.0,20,-0.0355,-0.0239,-0.0313,12.0000,4.8318,-0.0412
190.0,21,-0.0370,-0.0254,-0.0313,12.0008,4.8315,-0.0427
200.0,22,-0.0370,-0.0300,-0.0237,12.0008,4.8315,-0.0412
210.0,23,-0.0294,-0.0300,-0.0252,11.9991,4.8315,-0.0397
220.0,24,-0.0278,-0.0300,-0.0313,12.0008,4.8318,-0.0382
230.0,25,-0.0278,-0.0300,-0.0344,12.0008,4.8322,-0.0336
240.0,26,-0.0355,-0.0346,-0.0328,12.0017,4.8318,-0.0305
250.0,27,-0.0385,-0.0361,-0.0328,12.0017,4.8322,-0.0321
260.0,28,-0.0400,-0.0361,-0.0389,12.0000,4.8318,-0.0382
270.0,29,-0.0446,-0.0422,-0.0435,12.0008,4.8325,-0.0443
280.0,30,-0.0461,-0.0453,-0.0466,12.0008,4.8328,-0.0473
290.0,31,-0.0477,-0.0559,-0.0572,12.0017,4.8325,-0.0504
300.0,32,-0.0522,-0.0590,-0.0618,12.0008,4.8318,-0.0504
310.0,33,-0.0583,-0.0559,-0.0633,12.0008,4.8322,-0.0458
320.0,34,-0.0583,-0.0559,-0.0603,12.0008,4.8325,-0.0443
330.0,35,-0.0629,-0.0544,-0.0542,12.0017,4.8325,-0.0412
340.0,36,-0.0568,-0.0590,-0.0527,12.0017,4.8322,-0.0443
350.0,37,-0.0538,-0.0605,-0.0527,12.0017,4.8328,-0.0488
360.0,38,-0.0538,-0.0544,-0.0481,12.0017,4.8328,-0.0549
370.0,39,-0.0553,-0.0544,-0.0527,12.0017,4.8325,-0.0610
380.0,40,-0.0614,-0.0575,-0.0603,12.0026,4.8325,-0.0610
390.0,41,-0.0629,-0.0636,-0.0633,12.0026,4.8331,-0.0672
400.0,42,-0.0660,-0.0651,-0.0618,12.0034,4.8331,-0.0656
410.0,43,-0.0629,-0.0590,-0.0649,12.0017,4.8331,-0.0641
420.0,44,-0.0599,-0.0620,-0.0710,12.0026,4.8328,-0.0641
430.0,45,-0.0599,-0.0636,-0.0679,12.0034,4.8334,-0.0610
440.0,46,-0.0629,-0.0605,-0.0649,12.0026,4.8331,-0.0626
450.0,47,-0.0614,-0.0605,-0.0618,12.0017,4.8334,-0.0656
460.0,48,-0.0583,-0.0651,-0.0664,12.0017,4.8334,-0.0656
470.0,49,-0.0583,-0.0666,-0.0725,12.0026,4.8334,-0.0717
480.0,50,-0.0660,-0.0758,-0.0771,12.0026,4.8337,-0.0778
490.0,51,-0.0751,-0.0788,-0.0847,12.0017,4.8337,-0.0809
500.0,52,-0.0812,-0.0834,-0.0893,12.0026,4.8337,-0.0839
510.0,53,-0.0858,-0.0865,-0.0893,12.0034,4.8337,-0.0855
520.0,54,-0.0934,-0.0926,-0.0923,12.0026,4.8337,-0.0931
530.0,55,-0.0934,-0.0956,-0.0984,12.0026,4.8340,-0.0931
540.0,56,-0.0889,-0.1032,-0.1076,12.0017,4.8340,-0.0946
550.0,57,-0.0873,-0.1002,-0.1076,12.0034,4.8340,-0.0946
560.0,58,-0.0858,-0.1002,-0.1000,12.0034,4.8343,-0.0870
570.0,59,-0.0828,-0.0926,-0.0908,12.0034,4.8343,-0.0839
580.0,60,-0.0858,-0.0926,-0.0878,12.0026,4.8343,-0.0794
590.0,61,-0.0858,-0.0880,-0.0832,12.0017,4.8346,-0.0809
600.0,62,-0.0797,-0.0788,-0.0786,12.0034,4.8346,-0.0778
610.0,63,-0.0782,-0.0712,-0.0786,12.0043,4.8343,-0.0763
620.0,64,-0.0721,-0.0682,-0.0786,12.0034,4.8346,-0.0717
630.0,65,-0.0721,-0.0697,-0.0801,12.0026,4.8346,-0.0672
640.0,66,-0.0767,-0.0727,-0.0817,12.0043,4.8343,-0.0687
650.0,67,-0.0828,-0.0743,-0.0817,12.0034,4.8346,-0.0733
660.0,68,-0.0782,-0.0804,-0.0817,12.0034,4.8343,-0.0763
670.0,69,-0.0797,-0.0834,-0.0878,12.0034,4.8349,-0.0839
680.0,70,-0.0782,-0.0834,-0.0862,12.0043,4.8346,-0.0885
690.0,71,-0.0767,-0.0880,-0.0832,12.0034,4.8349,-0.0916
700.0,72,-0.0843,-0.0895,-0.0832,12.0034,4.8349,-0.0870
710.0,73,-0.0858,-0.0910,-0.0786,12.0034,4.8349,-0.0916
720.0,74,-0.0828,-0.0895,-0.0847,12.0034,4.8349,-0.0900
730.0,75,-0.0843,-0.0910,-0.0847,12.0043,4.8352,-0.0916
740.0,76,-0.0843,-0.0865,-0.0801,12.0034,4.8352,-0.0900
750.0,77,-0.0919,-0.0880,-0.0832,12.0026,4.8349,-0.0946
760.0,78,-0.0950,-0.0956,-0.0878,12.0034,4.8349,-0.0977
770.0,79,-0.0965,-0.0971,-0.0954,12.0034,4.8352,-0.1038
780.0,80,-0.0995,-0.0971,-0.1030,12.0034,4.8352,-0.1022
790.0,81,-0.0995,-0.0971,-0.1061,12.0043,4.8352,-0.0992
800.0,82,-0.1026,-0.0956,-0.1061,12.0034,4.8349,-0.1068
810.0,83,-0.0980,-0.0956,-0.1076,12.0034,4.8352,-0.1083
820.0,84,-0.1011,-0.1017,-0.1045,12.0034,4.8352,-0.1053
830.0,85,-0.0965,-0.1063,-0.1000,12.0034,4.8352,-0.0977
840.0,86,-0.0934,-0.1048,-0.1000,12.0026,4.8355,-0.0961
850.0,87,-0.0889,-0.1002,-0.0984,12.0026,4.8352,-0.1007
860.0,88,-0.0889,-0.0941,-0.0939,12.0034,4.8349,-0.0946
870.0,89,-0.0858,-0.0910,-0.0939,12.0043,4.8349,-0.0870
880.0,90,-0.0843,-0.0865,-0.0923,12.0026,4.8349,-0.0809
890.0,91,-0.0797,-0.0941,-0.0969,12.0043,4.8355,-0.0778
900.0,92,-0.0767,-0.0941,-0.0939,12.0034,4.8352,-0.0794
910.0,93,-0.0751,-0.0956,-0.0939,12.0034,4.8358,-0.0824
920.0,94,-0.0767,-0.0926,-0.0984,12.0034,4.8355,-0.0824
930.0,95,-0.0828,-0.0895,-0.0954,12.0026,4.8349,-0.0855
940.0,96,-0.0828,-0.0849,-0.0893,12.0034,4.8355,-0.0885
950.0,97,-0.0797,-0.0834,-0.0862,12.0026,4.8352,-0.0900
960.0,98,-0.0797,-0.0819,-0.0832,12.0034,4.8352,-0.0885
970.0,99,-0.0812,-0.0804,-0.0786,12.0034,4.8349,-0.0809
980.0,100,-0.0751,-0.0743,-0.0740,12.0034,4.8355,-0.0733
990.0,101,-0.0706,-0.0651,-0.0679,12.0026,4.8355,-0.0672
1000.0,102,-0.0706,-0.0666,-0.0664,12.0043,4.8355,-0.0641
