# cec_bench v1.0+46074dd  2026-06-13T16:37:12
===BURST_CSV_BEGIN===
# burst: 2048 frames in 129663 us (~15.8 kHz)
us,seq,i3,i4,i5,vrail,vcc,i8
67,90,0.9966,1.1771,1.1944,12.0130,4.8334,1.0115
131,94,0.7738,0.9116,0.9289,12.0139,4.8325,0.7887
194,99,1.2698,1.4335,1.5912,12.0130,4.8328,1.3746
257,104,2.8918,3.2264,3.4238,12.0043,4.8343,2.9219
321,108,3.0795,3.5422,3.6893,11.9991,4.8355,3.1523
384,113,3.0886,3.6094,3.7259,11.9947,4.8364,3.1629
447,118,4.3673,4.9613,5.2807,11.9869,4.8376,4.5210
511,122,5.2767,6.0477,6.2802,11.9791,4.8376,5.3633
574,127,4.9456,5.7792,5.9369,11.9765,4.8386,5.0474
637,132,4.6877,5.4877,5.6378,11.9756,4.8386,4.7972
701,136,4.4726,5.2466,5.4013,11.9773,4.8389,4.5896
764,141,4.2757,5.0010,5.1694,11.9773,4.8389,4.3791
827,146,4.3566,5.0849,5.2624,11.9747,4.8395,4.4752
890,150,4.4024,5.1276,5.2991,11.9747,4.8392,4.5072
954,155,4.3002,5.0269,5.1831,11.9756,4.8383,4.4142
1017,160,4.3047,5.0071,5.1785,11.9739,4.8376,4.4203
1080,164,4.3459,5.0605,5.2258,11.9739,4.8370,4.4706
1144,169,4.2940,5.0162,5.1785,11.9730,4.8373,4.4065
1207,174,4.2117,4.9247,5.0946,11.9739,4.8383,4.3211
1270,178,4.1827,4.8865,5.0397,11.9739,4.8389,4.2890
1334,183,4.2361,4.9415,5.0992,11.9730,4.8386,4.3516
1397,188,4.3597,5.0650,5.2273,11.9730,4.8361,4.4630
1460,192,4.3566,5.0620,5.2228,11.9739,4.8318,4.4630
1524,197,4.4314,5.1261,5.3036,11.9739,4.8279,4.5439
1587,202,4.4558,5.1581,5.3342,11.9713,4.8254,4.5759
1650,206,4.4482,5.1597,5.3265,11.9713,4.8245,4.5561
1713,211,4.3932,5.1123,5.2777,11.9721,4.8239,4.5042
1777,216,4.3566,5.0727,5.2243,11.9721,4.8239,4.4691
1840,220,4.2986,5.0162,5.1724,11.9704,4.8245,4.4081
1903,225,4.2498,4.9537,5.1037,11.9713,4.8260,4.3638
1967,230,4.2544,4.9704,5.1266,11.9704,4.8273,4.3714
2030,234,4.2635,4.9735,5.1343,11.9713,4.8282,4.3806
2093,239,4.2513,4.9476,5.1190,11.9730,4.8291,4.3577
2157,244,4.2742,4.9750,5.1526,11.9713,4.8297,4.3867
2220,248,3.7371,4.4120,4.4415,11.9730,4.8300,3.7687
2283,253,1.6451,2.0972,2.0123,11.9834,4.8315,1.6905
2347,2,1.2438,1.5235,1.5332,11.9913,4.8318,1.2953
2410,6,0.8807,1.0688,1.0754,11.9982,4.8318,0.9092
