# cec_bench v1.0+46074dd  2026-06-13T16:32:43
===BURST_CSV_BEGIN===
# fastburst: 2048 frames @ 100.00 kSPS native (measured), 0 seq-gaps, 0 bad-hdr; us = idx x 10.000 us
us,seq,i3,i4,i5,vrail,vcc,i8
0.0,255,0.2047,0.2311,0.2453,12.0034,4.8370,0.2104
10.0,0,0.2001,0.2265,0.2453,12.0034,4.8370,0.2180
20.0,1,0.2047,0.2280,0.2438,12.0026,4.8370,0.2210
30.0,2,0.2001,0.2295,0.2392,12.0034,4.8370,0.2195
40.0,3,0.2001,0.2326,0.2408,12.0026,4.8373,0.2180
50.0,4,0.2016,0.2356,0.2469,12.0034,4.8373,0.2256
60.0,5,0.2016,0.2356,0.2438,12.0017,4.8380,0.2302
70.0,6,0.2047,0.2402,0.2438,12.0026,4.8380,0.2317
80.0,7,0.2077,0.2448,0.2530,12.0034,4.8383,0.2363
90.0,8,0.2169,0.2570,0.2591,12.0034,4.8380,0.2455
100.0,9,0.2291,0.2631,0.2713,12.0034,4.8380,0.2546
110.0,10,0.2383,0.2692,0.2789,12.0043,4.8380,0.2607
120.0,11,0.2505,0.2829,0.2896,12.0034,4.8386,0.2684
130.0,12,0.2596,0.2906,0.2957,12.0034,4.8376,0.2745
140.0,13,0.2642,0.2906,0.3033,12.0043,4.8376,0.2851
150.0,14,0.2703,0.2921,0.3064,12.0034,4.8376,0.2882
160.0,15,0.2703,0.2952,0.3079,12.0052,4.8373,0.2836
170.0,16,0.2764,0.2982,0.3033,12.0034,4.8373,0.2775
180.0,17,0.2703,0.2952,0.2972,12.0043,4.8370,0.2729
190.0,18,0.2642,0.2952,0.2972,12.0043,4.8367,0.2729
200.0,19,0.2596,0.2982,0.2988,12.0026,4.8364,0.2699
210.0,20,0.2657,0.3013,0.3079,12.0034,4.8364,0.2699
220.0,21,0.2673,0.2997,0.3110,12.0034,4.8364,0.2745
230.0,22,0.2688,0.3013,0.3049,12.0043,4.8361,0.2729
240.0,23,0.2673,0.2997,0.2972,12.0043,4.8358,0.2729
250.0,24,0.2627,0.2967,0.2865,12.0026,4.8358,0.2745
260.0,25,0.2581,0.2921,0.2804,12.0043,4.8358,0.2760
270.0,26,0.2489,0.2875,0.2789,12.0043,4.8358,0.2729
280.0,27,0.2474,0.2829,0.2865,12.0043,4.8361,0.2638
290.0,28,0.2413,0.2738,0.2865,12.0034,4.8358,0.2546
