I (12461) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.122 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4881 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (13461) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.122 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4882 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (14461) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.123 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4881 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (15461) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.123 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4882 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (16461) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.124 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4877 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (17461) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.121 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4880 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
burst triggered (manual)
error: unknown command '' (try 'help')
I (18701) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.001 5SB=4.117 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4896 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (19841) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.112 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4903 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (21101) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.109 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4909 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (22531) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.110 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4905 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (23391) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.104 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4910 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (23951) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.097 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4909 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (24511) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.100 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4908 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (25501) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.097 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4899 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
