I (27461) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.121 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4889 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (28461) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.124 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4892 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (29461) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.122 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4891 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (30461) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.121 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4893 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (31461) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.119 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4894 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (32461) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.120 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4892 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (33461) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.120 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4888 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (34461) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.120 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4889 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (35461) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.121 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4889 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (36461) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.120 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4889 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (37461) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.123 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4892 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
