# cec_bench v1.0+1238b3f  2026-06-13T14:59:29
===BURST_CSV_BEGIN===
# burst: 2048 frames in 129756 us (~15.8 kHz)
us,seq,i3,i4,i5,vrail,vcc,i8
67,44,4.1938,4.9818,5.0742,11.9713,4.8264,4.6230
131,49,4.2076,5.0199,5.1062,11.9713,4.8254,4.6413
194,54,4.1755,4.9894,5.0681,11.9713,4.8245,4.6108
257,58,4.1145,4.9238,4.9979,11.9713,4.8251,4.5422
321,63,4.0916,4.8857,4.9750,11.9704,4.8264,4.5162
384,68,4.1069,4.8979,4.9903,11.9713,4.8273,4.5345
447,72,4.0962,4.8719,4.9704,11.9721,4.8285,4.5101
510,77,3.0143,3.7153,3.6078,11.9765,4.8285,3.2955
574,82,1.6639,2.1192,2.0469,11.9843,4.8294,1.8719
637,86,0.8995,1.1671,1.1176,11.9921,4.8294,1.0097
701,91,0.4264,0.5552,0.5423,11.9991,4.8297,0.5001
764,96,0.7454,0.8650,0.9421,12.0000,4.8294,0.8495
827,100,1.0597,1.2266,1.2564,11.9991,4.8291,1.1517
890,105,2.3216,2.6289,2.8815,11.9930,4.8285,2.6028
954,110,2.9808,3.4986,3.5910,11.9895,4.8288,3.2482
1017,114,3.2051,3.7901,3.8718,11.9860,4.8294,3.5137
1080,119,3.1883,3.7870,3.9038,11.9860,4.8300,3.5427
1143,124,4.6318,5.3923,5.6479,11.9799,4.8303,5.1098
1207,128,4.9995,5.9248,6.0218,11.9756,4.8303,5.4653
1270,132,4.7386,5.6639,5.7364,11.9730,4.8309,5.2105
1333,137,4.5204,5.4060,5.4740,11.9739,4.8309,4.9709
1396,141,4.2457,5.1069,5.1657,11.9756,4.8306,4.6902
1460,145,4.1328,4.9528,5.0269,11.9756,4.8309,4.5650
1523,150,4.1435,4.9513,5.0528,11.9747,4.8318,4.5727
1587,154,4.1740,4.9787,5.0620,11.9747,4.8325,4.5849
1650,158,4.1557,4.9528,5.0467,11.9747,4.8325,4.5773
1713,163,4.1069,4.9131,4.9811,11.9747,4.8318,4.5361
1776,167,4.0779,4.8643,4.9399,11.9730,4.8312,4.4903
1840,171,4.1435,4.9147,5.0055,11.9747,4.8285,4.5498
1903,176,4.1999,4.9757,5.0635,11.9747,4.8245,4.6230
1966,180,4.1832,4.9574,5.0437,11.9739,4.8218,4.6078
2029,184,4.2549,5.0459,5.1368,11.9739,4.8193,4.6795
2093,189,4.2396,5.0398,5.1368,11.9739,4.8175,4.6673
2156,193,4.2259,5.0123,5.0879,11.9730,4.8163,4.6413
2219,197,4.1801,4.9772,5.0666,11.9730,4.8169,4.5986
2283,202,4.1572,4.9497,5.0269,11.9730,4.8178,4.5773
2346,206,4.1298,4.9192,5.0132,11.9721,4.8181,4.5589
2409,210,4.1252,4.9040,5.0040,11.9739,4.8193,4.5559
2472,215,4.1099,4.9116,4.9872,11.9721,4.8203,4.5238
2536,219,4.1877,4.9787,5.0788,11.9730,4.8212,4.6093
2599,223,4.2289,5.0306,5.1276,11.9721,4.8215,4.6596
2663,228,4.2167,5.0276,5.1108,11.9730,4.8227,4.6520
2726,232,4.0962,4.8994,4.9643,11.9739,4.8233,4.5177
2789,236,4.0992,4.8780,4.9750,11.9730,4.8236,4.5177
2852,241,4.1313,4.9345,5.0132,11.9730,4.8239,4.5620
2916,245,4.1420,4.9391,5.0315,11.9721,4.8251,4.5696
2979,249,4.1526,4.9467,5.0406,11.9721,4.8260,4.5818
3042,254,4.1801,4.9894,5.0727,11.9721,4.8270,4.6108
3106,2,4.1404,4.9574,5.0513,11.9739,4.8282,4.5834
3169,6,4.1237,4.9269,5.0147,11.9730,4.8294,4.5559
3233,11,4.1114,4.9116,5.0086,11.9747,4.8303,4.5452
3304,15,4.0779,4.8780,4.9521,11.9730,4.8294,4.4979
3369,20,3.9085,4.6842,4.7293,11.9756,4.8294,4.3011
3432,25,2.1721,2.7418,2.6068,11.9834,4.8291,2.3861
3496,29,1.3099,1.6645,1.6227,11.9913,4.8291,1.4843
3559,33,0.6599,0.8695,0.8185,11.9991,4.8297,0.7503
3622,38,0.4646,0.5781,0.5851,12.0043,4.8312,0.5276
3686,42,0.9071,1.0572,1.1313,12.0060,4.8318,1.0235
3749,46,1.0933,1.2907,1.3541,12.0069,4.8328,1.2264
3813,51,2.8526,3.2606,3.4552,11.9982,4.8322,3.1246
3876,55,3.0662,3.6146,3.6963,11.9947,4.8312,3.3581
3939,59,3.1227,3.7107,3.7513,11.9921,4.8288,3.4206
4003,64,3.9329,4.5713,4.8194,11.9869,4.8264,4.3667
4066,68,5.0743,5.9294,6.1225,11.9799,4.8248,5.5553
4129,72,4.8912,5.8439,5.9027,11.9782,4.8245,5.3768
4193,77,4.5997,5.4991,5.5777,11.9782,4.8239,5.0671
4256,81,4.4075,5.2732,5.3550,11.9791,4.8236,4.8565
4319,85,4.2122,5.0398,5.1169,11.9791,4.8233,4.6490
4383,90,4.1267,4.9330,5.0193,11.9791,4.8239,4.5620
4446,94,4.1603,4.9497,5.0422,11.9782,4.8251,4.5864
4509,98,4.1389,4.9452,5.0177,11.9773,4.8260,4.5650
4573,103,4.2076,5.0306,5.1276,11.9773,4.8276,4.6505
4636,107,4.1130,4.9208,4.9918,11.9773,4.8282,4.5391
4699,111,4.0031,4.7926,4.8713,11.9773,4.8294,4.4247
4763,116,4.0413,4.8155,4.9170,11.9791,4.8306,4.4582
4826,120,4.1069,4.8948,4.9857,11.9782,4.8318,4.5284
4889,124,4.1053,4.8933,4.9796,11.9773,4.8315,4.5254
4953,129,4.1160,4.8933,4.9903,11.9782,4.8312,4.5269
5016,133,4.0977,4.8948,4.9903,11.9782,4.8306,4.5193
5079,137,4.0947,4.8826,4.9704,11.9782,4.8309,4.5086
