# cec_bench v1.0+1238b3f  2026-06-13T14:42:34
===BURST_CSV_BEGIN===
# autoburst TRIGGER 1/1: ch=i8 dev=15758 codes (~24.04 A); native ring 2048 frames @ 100.00 kSPS (measured), 0 seq-gaps; us = idx x 10.000 (transient near the TAIL)
us,seq,i3,i4,i5,vrail,vcc,i8
0.0,27,0.0007,0.0074,0.0113,0.0191,4.8242,-0.0004
10.0,28,0.0053,0.0090,0.0113,0.0200,4.8239,0.0042
20.0,29,0.0129,0.0120,0.0144,0.0209,4.8242,0.0042
30.0,30,0.0190,0.0212,0.0159,0.0200,4.8242,0.0118
40.0,31,0.0282,0.0227,0.0159,0.0209,4.8236,0.0195
50.0,32,0.0251,0.0227,0.0190,0.0209,4.8239,0.0256
60.0,33,0.0236,0.0242,0.0251,0.0235,4.8239,0.0317
70.0,34,0.0282,0.0318,0.0342,0.0217,4.8239,0.0301
80.0,35,0.0297,0.0364,0.0403,0.0209,4.8233,0.0301
90.0,36,0.0282,0.0334,0.0296,0.0217,4.8233,0.0256
100.0,37,0.0251,0.0212,0.0266,0.0209,4.8233,0.0225
110.0,38,0.0236,0.0242,0.0266,0.0217,4.8230,0.0195
120.0,39,0.0251,0.0303,0.0251,0.0217,4.8230,0.0210
130.0,40,0.0236,0.0303,0.0235,0.0217,4.8227,0.0210
140.0,41,0.0221,0.0257,0.0220,0.0200,4.8233,0.0256
150.0,42,0.0221,0.0212,0.0251,0.0217,4.8233,0.0210
160.0,43,0.0175,0.0196,0.0266,0.0209,4.8230,0.0164
170.0,44,0.0129,0.0196,0.0235,0.0226,4.8224,0.0179
180.0,45,0.0160,0.0166,0.0205,0.0209,4.8227,0.0195
190.0,46,0.0175,0.0151,0.0159,0.0217,4.8227,0.0179
200.0,47,0.0145,0.0166,0.0174,0.0217,4.8224,0.0149
210.0,48,0.0129,0.0105,0.0144,0.0217,4.8227,0.0133
220.0,49,0.0129,0.0059,0.0037,0.0209,4.8233,0.0118
230.0,50,0.0160,0.0135,0.0083,0.0217,4.8227,0.0133
240.0,51,0.0145,0.0120,0.0098,0.0217,4.8224,0.0103
250.0,52,0.0068,0.0120,0.0037,0.0209,4.8230,0.0027
260.0,53,-0.0008,0.0090,0.0006,0.0209,4.8227,0.0011
270.0,54,-0.0069,0.0044,0.0022,0.0217,4.8227,-0.0034
280.0,55,-0.0008,-0.0017,0.0022,0.0200,4.8230,-0.0034
290.0,56,0.0023,-0.0017,-0.0009,0.0209,4.8227,-0.0034
300.0,57,0.0007,-0.0078,-0.0009,0.0226,4.8230,0.0011
310.0,58,0.0053,-0.0063,-0.0009,0.0209,4.8227,0.0072
320.0,59,0.0068,-0.0002,0.0052,0.0217,4.8230,0.0118
330.0,60,0.0145,0.0044,0.0129,0.0217,4.8233,0.0195
340.0,61,0.0206,0.0135,0.0174,0.0200,4.8233,0.0225
350.0,62,0.0221,0.0227,0.0190,0.0217,4.8230,0.0195
360.0,63,0.0221,0.0273,0.0281,0.0209,4.8224,0.0210
370.0,64,0.0206,0.0334,0.0327,0.0209,4.8224,0.0256
380.0,65,0.0236,0.0379,0.0327,0.0226,4.8227,0.0317
390.0,66,0.0267,0.0395,0.0388,0.0217,4.8224,0.0439
400.0,67,0.0358,0.0440,0.0418,0.0217,4.8221,0.0500
410.0,68,0.0389,0.0395,0.0388,0.0217,4.8221,0.0484
420.0,69,0.0358,0.0303,0.0357,0.0217,4.8224,0.0393
430.0,70,0.0358,0.0303,0.0373,0.0226,4.8224,0.0332
440.0,71,0.0297,0.0303,0.0357,0.0209,4.8218,0.0301
450.0,72,0.0282,0.0257,0.0327,0.0217,4.8218,0.0271
460.0,73,0.0190,0.0212,0.0312,0.0209,4.8221,0.0256
470.0,74,0.0145,0.0151,0.0251,0.0217,4.8215,0.0210
480.0,75,0.0114,0.0090,0.0098,0.0209,4.8215,0.0195
490.0,76,0.0038,0.0120,0.0022,0.0217,4.8218,0.0133
500.0,77,-0.0054,0.0044,-0.0009,0.0226,4.8218,0.0103
510.0,78,-0.0069,0.0013,-0.0039,0.0217,4.8215,0.0088
520.0,79,-0.0084,-0.0063,-0.0070,0.0217,4.8221,0.0057
530.0,80,-0.0115,-0.0124,-0.0146,0.0235,4.8221,-0.0019
