# cec_bench v1.0+1238b3f  2026-06-13T14:53:29
===BURST_CSV_BEGIN===
# fastburst: 2048 frames @ 100.00 kSPS native (measured), 0 seq-gaps, 0 bad-hdr; us = idx x 10.000 us
us,seq,i3,i4,i5,vrail,vcc,i8
0.0,101,4.5677,4.7422,4.8758,11.9782,4.8267,4.5635
10.0,102,4.5753,4.7453,4.8819,11.9765,4.8270,4.5711
20.0,103,4.5845,4.7514,4.8865,11.9765,4.8270,4.5818
30.0,104,4.5921,4.7529,4.8972,11.9765,4.8270,4.5910
40.0,105,4.5951,4.7575,4.9048,11.9773,4.8270,4.5910
50.0,106,4.5936,4.7529,4.9094,11.9773,4.8270,4.5879
60.0,107,4.5845,4.7483,4.9002,11.9765,4.8270,4.5773
70.0,108,4.5677,4.7377,4.8804,11.9765,4.8267,4.5605
80.0,109,4.5524,4.7178,4.8484,11.9773,4.8270,4.5467
90.0,110,4.5265,4.6949,4.8255,11.9765,4.8273,4.5208
100.0,111,4.5021,4.6690,4.8011,11.9773,4.8273,4.4918
110.0,112,4.4761,4.6369,4.7751,11.9765,4.8273,4.4613
120.0,113,4.4502,4.6080,4.7492,11.9773,4.8276,4.4308
130.0,114,4.4243,4.5835,4.7171,11.9765,4.8276,4.4048
140.0,115,4.4029,4.5591,4.6927,11.9765,4.8282,4.3804
150.0,116,4.3846,4.5408,4.6729,11.9773,4.8279,4.3636
160.0,117,4.3678,4.5332,4.6607,11.9773,4.8282,4.3545
170.0,118,4.3617,4.5256,4.6531,11.9765,4.8285,4.3514
180.0,119,4.3647,4.5256,4.6576,11.9765,4.8285,4.3514
190.0,120,4.3739,4.5301,4.6668,11.9765,4.8285,4.3621
200.0,121,4.3800,4.5408,4.6759,11.9773,4.8288,4.3728
210.0,122,4.3846,4.5515,4.6912,11.9765,4.8294,4.3743
220.0,123,4.3892,4.5545,4.7004,11.9765,4.8291,4.3819
230.0,124,4.3953,4.5576,4.7004,11.9756,4.8294,4.3850
240.0,125,4.3998,4.5576,4.6912,11.9765,4.8294,4.3865
250.0,126,4.3998,4.5515,4.6927,11.9773,4.8297,4.3850
260.0,127,4.3983,4.5469,4.6866,11.9765,4.8300,4.3819
270.0,128,4.3953,4.5423,4.6805,11.9765,4.8303,4.3713
280.0,129,4.3892,4.5362,4.6775,11.9765,4.8300,4.3667
290.0,130,4.3739,4.5271,4.6759,11.9773,4.8300,4.3560
300.0,131,4.3693,4.5256,4.6714,11.9765,4.8300,4.3575
