# cec_bench v1.0+1238b3f  2026-06-13T14:52:07
===BURST_CSV_BEGIN===
# burst: 2048 frames in 129654 us (~15.8 kHz)
us,seq,i3,i4,i5,vrail,vcc,i8
70,3,0.8720,0.9153,0.9284,12.0034,4.8297,0.8739
134,7,0.9010,0.9291,0.9558,12.0043,4.8288,0.9075
198,12,0.8796,0.9123,0.9452,12.0043,4.8288,0.8907
261,16,0.8583,0.8833,0.9131,12.0043,4.8300,0.8480
324,20,0.7743,0.7994,0.8155,12.0043,4.8315,0.7610
388,25,0.7347,0.7688,0.7911,12.0043,4.8331,0.7381
451,29,0.7133,0.7460,0.7743,12.0052,4.8343,0.7336
514,33,0.7042,0.7353,0.7529,12.0052,4.8349,0.7061
577,38,0.7148,0.7307,0.7560,12.0052,4.8352,0.7076
641,42,0.7576,0.7856,0.8216,12.0043,4.8346,0.7656
704,46,0.7225,0.7658,0.7682,12.0069,4.8352,0.7214
767,51,0.6950,0.7154,0.7361,12.0052,4.8355,0.6847
831,55,0.6935,0.7124,0.7315,12.0043,4.8358,0.6924
894,59,0.7118,0.7337,0.7575,12.0052,4.8355,0.7122
957,64,0.7347,0.7688,0.8048,12.0052,4.8358,0.7397
1020,68,0.7377,0.7673,0.7834,12.0043,4.8358,0.7366
1084,72,0.7148,0.7337,0.7422,12.0043,4.8358,0.7015
1147,77,0.7042,0.7276,0.7575,12.0060,4.8355,0.7091
1211,81,0.7118,0.7337,0.7575,12.0052,4.8355,0.7091
1274,85,0.7148,0.7444,0.7529,12.0052,4.8361,0.7076
1337,90,0.6935,0.7185,0.7499,12.0052,4.8364,0.6924
1401,94,0.7331,0.7536,0.7880,12.0052,4.8367,0.7366
1464,98,0.7240,0.7444,0.7666,12.0060,4.8364,0.7290
1527,103,0.6981,0.7200,0.7438,12.0052,4.8358,0.6939
1591,107,0.7637,0.7856,0.8231,12.0060,4.8349,0.7717
1654,111,0.8033,0.8329,0.8643,12.0060,4.8343,0.7931
1717,116,0.7408,0.7688,0.8017,12.0043,4.8340,0.7442
1781,120,0.7805,0.8116,0.8384,12.0043,4.8322,0.7870
1844,124,0.8369,0.8634,0.8780,12.0052,4.8285,0.8450
1907,129,0.8964,0.9275,0.9574,12.0043,4.8242,0.9014
1970,133,0.9086,0.9443,0.9726,12.0043,4.8212,0.9182
2034,137,0.8842,0.9123,0.9406,12.0026,4.8187,0.8938
2097,142,0.8262,0.8619,0.8719,12.0026,4.8175,0.8221
2160,146,0.8079,0.8451,0.8582,12.0017,4.8172,0.8129
2223,150,0.7805,0.8085,0.8460,12.0017,4.8178,0.7915
2287,155,0.7576,0.7719,0.8048,12.0017,4.8190,0.7534
2350,160,0.7484,0.7719,0.8033,12.0017,4.8199,0.7488
2413,164,0.7805,0.8146,0.8353,12.0008,4.8212,0.7931
2476,169,0.7621,0.7963,0.8170,12.0008,4.8221,0.7580
2539,174,0.7316,0.7566,0.7758,12.0000,4.8224,0.7366
2603,178,0.7194,0.7521,0.7727,11.9991,4.8233,0.7336
2666,183,0.8201,0.8451,0.8735,12.0008,4.8236,0.8144
2729,188,0.8598,0.8924,0.9116,12.0000,4.8242,0.8633
2792,192,0.7743,0.8024,0.8246,11.9991,4.8239,0.7748
